SECCION ELECTORAL,MUNICIPIO,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA,NUMERO DE VOTOS VALIDOS,NUMERO DE VOTOS NULOS,TOTAL DE VOTOS,LISTA NOMINAL,% PARTICIPACION CIUDADANA,CASILLA
974,NACAJUCA,13,9,59,73,6,8,6,243,0,3,1,0,1,,422,21,443,539,82.1892,EXTRAORDINARIA 01 CONTIGUA 01
975,NACAJUCA,20,12,29,72,2,7,4,215,2,3,0,0,0,,366,9,375,469,79.9573,BASICA
975,NACAJUCA,14,16,24,72,2,5,5,220,2,4,1,0,0,,365,16,381,468,81.4102,CONTIGUA 01
976,NACAJUCA,11,16,13,139,1,6,2,233,1,1,0,0,0,,423,7,430,533,80.6754,BASICA
976,NACAJUCA,16,14,18,160,5,6,4,197,0,1,0,0,0,,421,13,434,533,81.4258,CONTIGUA 01
976,NACAJUCA,18,20,18,159,3,3,1,219,3,1,1,1,1,,448,14,462,533,86.6791,CONTIGUA 02
977,NACAJUCA,10,7,42,127,15,13,4,254,3,2,1,0,1,,479,31,510,602,84.7176,BASICA
977,NACAJUCA,19,0,36,152,8,8,2,242,4,0,0,0,0,,471,22,493,601,82.0299,CONTIGUA 01
978,NACAJUCA,11,8,19,130,2,0,1,286,1,0,1,0,0,,459,8,467,573,81.5008,BASICA
978,NACAJUCA,12,11,34,111,0,3,2,296,0,0,1,0,1,,471,0,471,572,82.3426,CONTIGUA 01
979,NACAJUCA,31,8,39,82,1,11,4,247,0,4,0,0,0,,427,28,455,613,74.2251,BASICA
979,NACAJUCA,37,19,36,94,9,13,4,260,1,4,3,0,0,,480,23,526,613,85.8075,CONTIGUA 01
979,NACAJUCA,6,7,28,113,6,7,7,258,7,3,0,0,0,,442,21,463,613,75.5301,CONTIGUA 02
980,NACAJUCA,16,21,24,104,11,5,5,326,2,1,0,0,1,,516,27,543,718,75.6267,BASICA
980,NACAJUCA,18,33,16,108,11,5,1,296,2,0,0,0,0,,490,22,512,717,71.4086,CONTIGUA 01
980,NACAJUCA,17,22,13,75,7,8,2,337,2,0,0,0,0,,483,15,498,717,69.456,CONTIGUA 02
981,NACAJUCA,38,14,12,93,12,1,0,206,2,1,0,0,0,,379,13,392,493,79.5131,BASICA
981,NACAJUCA,14,11,12,86,9,4,0,226,0,1,0,0,0,,363,12,375,492,76.2195,CONTIGUA 01
982,NACAJUCA,46,31,42,64,0,15,2,314,2,4,0,0,0,,520,22,542,740,73.2432,BASICA
982,NACAJUCA,43,18,41,74,3,13,2,344,0,5,1,0,0,,544,31,575,739,77.8078,CONTIGUA 01
982,NACAJUCA,44,22,50,101,9,11,2,317,4,1,1,0,1,,563,20,583,739,78.8903,CONTIGUA 02
