SECCION ELECTORAL,MUNICIPIO,EXTRA DATA,TOTAL DE VOTOS,LISTA NOMINAL,CASILLA,DISTRITO F,DISTRITO L
2554,PUEBLA,2,,,,,
2555,PUEBLA,2,,,,,
2556,PUEBLA,2,,,,,
2560,PUEBLA,2,,,,,
2569,PUEBLA,2,,,,,
2578,PUEBLA,2,,,,,
2580,PUEBLA,2,,,,,
2584,PUEBLA,3,,,,,
2586,PUEBLA,3,,,,,
2587,PUEBLA,3,,,,,
2588,PUEBLA,3,,,,,
2589,PUEBLA,3,,,,,
2590,PUEBLA,3,,,,,
2592,PUEBLA,3,,,,,
2596,PUEBLA,3,,,,,
2597,PUEBLA,3,,,,,
2598,PUEBLA,3,,,,,
2599,PUEBLA,3,,,,,
2601,PUEBLA,2,,,,,
2615,PUEBLA,3,,,,,
2619,PUEBLA,3,,,,,
2621,PUEBLA,3,,,,,
2624,PUEBLA,2,,,,,
2626,PUEBLA,2,,,,,
2629,PUEBLA,2,,,,,
2643,PUEBLA,3,,,,,
2663,PUEBLA,2,,,,,
