SECCION ELECTORAL,MUNICIPIO,EXTRA DATA,TOTAL DE VOTOS,LISTA NOMINAL,CASILLA,DISTRITO F,DISTRITO L
696,HUITZILAN DE SERDAN,1,,,,,
698,HUITZILAN DE SERDAN,1,,,,,
700,HUITZILAN DE SERDAN,1,,,,,
709,IXCAQUIXTLA,1,,,,,
710,IXCAQUIXTLA,1,,,,,
716,IXTACAMAXTITLAN,1,,,,,
723,IXTACAMAXTITLAN,1,,,,,
727,IXTEPEC,1,,,,,
728,IXTEPEC,1,,,,,
732,IZUCAR DE MATAMOROS,1,,,,,
739,IZUCAR DE MATAMOROS,1,,,,,
740,IZUCAR DE MATAMOROS,1,,,,,
743,IZUCAR DE MATAMOROS,1,,,,,
744,IZUCAR DE MATAMOROS,1,,,,,
745,IZUCAR DE MATAMOROS,1,,,,,
746,IZUCAR DE MATAMOROS,1,,,,,
749,IZUCAR DE MATAMOROS,1,,,,,
752,IZUCAR DE MATAMOROS,1,,,,,
753,IZUCAR DE MATAMOROS,1,,,,,
758,IZUCAR DE MATAMOROS,1,,,,,
762,IZUCAR DE MATAMOROS,1,,,,,
765,JALPAN,1,,,,,
768,JALPAN,1,,,,,
770,JOLALPAN,1,,,,,
771,JOLALPAN,1,,,,,
779,JOPALA,1,,,,,
786,JUAN C. BONILLA,1,,,,,
787,JUAN C. BONILLA,1,,,,,
788,JUAN C. BONILLA,1,,,,,
789,JUAN C. BONILLA,1,,,,,
790,JUAN C. BONILLA,1,,,,,
791,JUAN C. BONILLA,1,,,,,
809,LIBRES,1,,,,,
810,LIBRES,1,,,,,
811,LIBRES,1,,,,,
815,LIBRES,1,,,,,
816,LIBRES,1,,,,,
819,LIBRES,1,,,,,
838,NEALTICAN,1,,,,,
839,NEALTICAN,1,,,,,
840,NEALTICAN,1,,,,,
841,NEALTICAN,1,,,,,
844,NICOLAS BRAVO,1,,,,,
846,NOPALUCAN,1,,,,,
847,NOPALUCAN,1,,,,,
1151,PUEBLA,2,,,,,
1152,PUEBLA,2,,,,,
1153,PUEBLA,2,,,,,
1154,PUEBLA,2,,,,,
1155,PUEBLA,2,,,,,
1156,PUEBLA,2,,,,,
1157,PUEBLA,2,,,,,
1158,PUEBLA,2,,,,,
1159,PUEBLA,2,,,,,
1160,PUEBLA,2,,,,,
1161,PUEBLA,2,,,,,
1162,PUEBLA,2,,,,,
1163,PUEBLA,2,,,,,
1164,PUEBLA,2,,,,,
1165,PUEBLA,2,,,,,
1166,PUEBLA,2,,,,,
1167,PUEBLA,2,,,,,
1168,PUEBLA,2,,,,,
1169,PUEBLA,2,,,,,
1170,PUEBLA,2,,,,,
1171,PUEBLA,2,,,,,
