SECCION ELECTORAL,MUNICIPIO,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES,RSP,FXM,CAND_IND_1,CAND_IND_2,CAND_IND_3,PAN0PRI0PRD,PAN0PRI,PAN0PRD,PRI0PRD,PVEM0PT0MORENA,PVEM0PT,PVEM0MORENA,PT0MORENA,TOTAL DE VOTOS,LISTA NOMINAL,CASILLA,DISTRITO F,DISTRITO L
1746,SAN MARTIN TEXMELUCAN,38,22,1,29,18,25,75,13,1,9,0,0,0,1,2,0,0,0,1,0,2,259,661,C,5,7
1746,SAN MARTIN TEXMELUCAN,37,24,4,25,18,23,91,11,4,5,0,0,0,0,0,0,0,1,0,0,2,256,661,C,5,7
1746,SAN MARTIN TEXMELUCAN,37,22,1,28,26,37,89,20,0,18,0,0,0,1,0,0,0,0,2,2,4,300,661,C,5,7
1747,SAN MARTIN TEXMELUCAN,39,29,3,26,17,19,88,16,4,6,0,0,0,1,0,0,0,0,0,0,2,260,584,B,5,7
1747,SAN MARTIN TEXMELUCAN,45,26,5,24,15,30,68,20,1,4,0,0,0,1,1,0,0,0,1,0,0,250,584,C,5,7
1747,SAN MARTIN TEXMELUCAN,32,29,3,28,18,20,79,21,3,5,0,0,0,1,1,0,0,0,0,0,0,249,584,C,5,7
1747,SAN MARTIN TEXMELUCAN,36,31,5,21,15,20,69,18,2,9,0,0,0,0,0,0,0,0,0,0,0,241,584,C,5,7
1748,SAN MARTIN TEXMELUCAN,54,34,4,17,18,31,112,27,4,15,0,0,0,4,0,0,0,0,0,0,2,331,673,B,5,7
1748,SAN MARTIN TEXMELUCAN,56,29,3,17,13,26,78,15,1,18,0,0,0,1,1,1,0,0,0,1,1,280,673,C,5,7
1748,SAN MARTIN TEXMELUCAN,46,34,2,20,15,26,89,27,3,18,0,0,0,1,0,2,1,2,0,0,2,299,673,C,5,7
1748,SAN MARTIN TEXMELUCAN,50,26,4,17,22,29,105,16,3,20,0,0,0,0,0,1,0,0,0,0,0,307,673,C,5,7
1748,SAN MARTIN TEXMELUCAN,37,26,5,31,20,32,85,25,2,16,0,0,0,0,1,1,1,2,0,0,1,312,673,C,5,7
1749,SAN MARTIN TEXMELUCAN,44,30,4,17,33,41,106,5,2,16,0,0,0,0,0,0,0,2,0,0,5,313,614,B,5,7
1749,SAN MARTIN TEXMELUCAN,49,29,2,20,35,41,108,13,2,19,0,0,0,5,0,0,0,2,1,1,1,343,613,C,5,7
1749,SAN MARTIN TEXMELUCAN,45,31,1,29,25,29,110,8,2,22,0,0,0,1,1,1,0,0,2,0,3,327,613,C,5,7
1750,SAN MARTIN TEXMELUCAN,51,31,6,31,28,54,75,12,1,10,0,0,0,1,0,0,0,0,0,2,2,309,693,B,5,7
1750,SAN MARTIN TEXMELUCAN,53,25,4,75,25,42,68,8,8,21,0,0,0,0,0,0,0,3,0,1,1,347,693,C,5,7
1750,SAN MARTIN TEXMELUCAN,51,14,3,27,28,28,61,4,3,15,0,0,0,2,1,0,0,1,0,1,3,254,693,C,5,7
1750,SAN MARTIN TEXMELUCAN,47,19,5,27,26,29,55,10,5,13,0,0,0,1,0,0,0,1,0,0,3,252,692,C,5,7
1750,SAN MARTIN TEXMELUCAN,37,16,6,29,28,34,65,8,2,10,0,0,0,4,0,1,0,1,0,0,1,253,692,C,5,7
1750,SAN MARTIN TEXMELUCAN,48,12,10,36,18,44,85,8,3,7,0,0,0,0,0,0,0,1,0,0,1,285,692,C,5,7
1750,SAN MARTIN TEXMELUCAN,46,16,4,43,27,47,72,4,1,13,0,0,0,3,0,0,0,1,1,0,4,293,692,C,5,7
1750,SAN MARTIN TEXMELUCAN,49,22,7,31,26,44,65,4,1,9,0,0,0,0,0,0,0,0,0,0,1,274,692,C,5,7
1751,SAN MARTIN TEXMELUCAN,36,14,6,29,18,40,87,7,3,14,0,0,0,0,1,0,0,0,0,0,1,268,688,B,5,7
1751,SAN MARTIN TEXMELUCAN,26,17,5,20,25,32,79,5,9,13,0,0,0,1,0,0,0,3,0,0,3,247,688,C,5,7
1751,SAN MARTIN TEXMELUCAN,33,18,3,19,21,42,68,8,5,21,0,0,0,0,1,0,0,1,0,0,1,241,687,C,5,7
1751,SAN MARTIN TEXMELUCAN,32,14,2,25,38,33,76,6,3,13,0,0,0,0,0,0,0,1,0,0,3,255,687,C,5,7
1751,SAN MARTIN TEXMELUCAN,28,20,3,17,27,35,83,10,5,17,0,0,0,1,0,0,0,1,0,1,2,255,687,C,5,7
1751,SAN MARTIN TEXMELUCAN,38,9,0,11,27,34,75,6,3,14,0,0,0,4,0,0,0,2,0,0,0,239,687,C,5,7
1752,SAN MARTIN TEXMELUCAN,37,30,4,33,27,42,114,8,6,16,0,0,0,3,1,0,0,0,2,1,3,339,731,B,5,7
