SECCION ELECTORAL,MUNICIPIO,PAN,PRI,PRD,PT,PVEM,MC,CPP,PSI,MORENA,PES,PANAL,C_PRD_MC_CPP,C_PRD_MC,C_PRD_CPP,C_MC_CPP,C_PAN_PRD_MC_CPP,C_PAN_PRD_MC,C_PAN_PRD_CPP,C_PAN_MC_CPP,C_PRD_MC_CPP,C_PAN_PRD,C_PAN_MC,C_PAN_CPP,C_PRD_MC,C_PRD_CPP,C_MC_CPP,C_PT_PVEM_MORENA_PES,C_PT_PVEM_MORENA,C_PT_PVEM_PES,C_PT_MORENA_PES,C_PVEM_MORENA_PES,C_PT_PVEM,C_PT_MORENA,C_PT_PES,C_PVEM_MORENA,C_PVEM_PES,C_MORENA_PES,C_PT_MORENA_PES,C_PT_MORENA,C_PT_PES,C_MORENA_PES,C_PAN_CPP,C_PRI_CPP,TOTAL DE VOTOS,LISTA NOMINAL,CASILLA,DISTRITO F,DISTRITO L
270,CAÑADA MORELOS,6,95,0,4,1,2,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,206,E,4,25
821,MAZAPILTEPEC DE JUÁREZ,0,61,0,1,17,231,50,0,54,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,446,629,B,8,13
822,MAZAPILTEPEC DE JUÁREZ,0,100,0,1,10,79,56,1,31,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,299,437,B,8,13
822,MAZAPILTEPEC DE JUÁREZ,0,95,0,2,6,65,81,4,21,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,308,436,C,8,13
822,MAZAPILTEPEC DE JUÁREZ,0,199,0,2,3,171,30,3,84,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,544,652,E,8,13
857,OCOYUCAN,43,137,92,7,1,1,5,0,60,0,0,13,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,386,606,B,13,21
857,OCOYUCAN,54,145,74,9,4,2,6,0,55,1,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,377,606,C,13,21
857,OCOYUCAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605,C,13,21
857,OCOYUCAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605,C,13,21
858,OCOYUCAN,56,124,89,10,1,2,8,0,90,1,0,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,412,676,B,13,21
858,OCOYUCAN,42,120,86,2,1,2,9,0,87,1,0,4,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,391,676,C,13,21
858,OCOYUCAN,50,115,97,13,2,2,10,0,79,1,0,8,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,7,0,2,0,0,0,0,0,0,0,0,0,0,0,398,676,C,13,21
858,OCOYUCAN,52,145,78,4,0,2,11,0,96,0,0,7,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,1,2,0,1,0,1,0,0,0,0,0,0,433,675,C,13,21
858,OCOYUCAN,276,26,2,0,0,6,1,0,32,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352,659,E,13,21
858,OCOYUCAN,12,244,25,6,3,3,4,0,38,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,357,659,E1,13,21
858,OCOYUCAN,255,27,4,1,3,6,2,0,39,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,344,659,E2,13,21
858,OCOYUCAN,272,30,10,2,3,8,1,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,360,659,E3,13,21
858,OCOYUCAN,276,29,6,1,4,5,3,0,23,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359,658,E4,13,21
858,OCOYUCAN,12,239,21,4,6,5,5,0,31,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,348,675,E,13,21
858,OCOYUCAN,12,244,25,6,3,3,4,0,38,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,357,675,E1,13,21
859,OCOYUCAN,59,173,61,2,2,4,20,0,33,0,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,379,683,B,13,21
859,OCOYUCAN,69,150,82,3,0,6,18,0,31,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379,683,C,13,21
859,OCOYUCAN,82,168,77,6,2,2,17,0,39,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410,682,C,13,21
859,OCOYUCAN,62,146,79,3,2,5,23,0,24,0,0,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,374,682,C,13,21
