SECCION ELECTORAL,MUNICIPIO,PAN_CONVERGENCIA_NA_PRD,PRI_VERDE,PT,CANDIDATOS NO REGISTRADOS,TOTAL DE VOTOS,LISTA NOMINAL,CASILLA,DISTRITO F,DISTRITO L
69,AHUACATLAN,180,132,0,0,322,430,BÁSICA,2,2
69,AHUACATLAN,183,121,8,0,333,430,CONTIGUA 1,2,2
70,AHUACATLAN,301,162,4,0,483,657,CONTIGUA 1,2,2
70,AHUACATLAN,315,152,3,0,494,657,BÁSICA,2,2
71,AHUATLAN,64,45,0,0,111,170,EXTRAORDINARIA 1,14,23
71,AHUATLAN,112,209,0,0,336,573,BÁSICA,14,23
72,AHUATLAN,186,203,0,0,398,650,BÁSICA,14,23
73,AHUATLAN,139,99,0,0,250,402,CONTIGUA 1,14,23
73,AHUATLAN,185,59,0,0,263,401,BÁSICA,14,23
74,AHUATLAN,53,166,0,0,240,546,BÁSICA,14,23
75,AHUAZOTEPEC,135,216,30,0,404,726,BÁSICA,2,3
75,AHUAZOTEPEC,166,197,25,0,405,727,CONTIGUA 1,2,3
76,AHUAZOTEPEC,109,190,30,0,348,658,BÁSICA,2,3
76,AHUAZOTEPEC,132,175,30,0,356,659,CONTIGUA 2,2,3
76,AHUAZOTEPEC,117,195,33,0,372,659,CONTIGUA 1,2,3
77,AHUAZOTEPEC,14,136,6,0,169,238,EXTRAORDINARIA 1,2,3
77,AHUAZOTEPEC,130,174,39,0,365,664,CONTIGUA 2,2,3
77,AHUAZOTEPEC,121,207,40,0,381,664,CONTIGUA 1,2,3
77,AHUAZOTEPEC,123,187,47,0,392,664,BÁSICA,2,3
78,AHUAZOTEPEC,41,138,23,0,214,394,CONTIGUA 1,2,3
78,AHUAZOTEPEC,39,158,20,0,236,393,BÁSICA,2,3
79,AHUEHUETITLA,98,149,125,0,382,694,CONTIGUA 2,14,23
79,AHUEHUETITLA,96,138,153,0,399,693,CONTIGUA 1,14,23
79,AHUEHUETITLA,124,154,132,0,431,693,BÁSICA,14,23
80,AJALPAN,211,212,7,0,455,623,CONTIGUA 1,4,26
80,AJALPAN,211,220,6,0,461,623,BÁSICA,4,26
80,AJALPAN,213,233,2,0,473,624,CONTIGUA 3,4,26
80,AJALPAN,234,218,2,0,474,624,CONTIGUA 2,4,26
80,AJALPAN,237,215,5,0,476,624,CONTIGUA 4,4,26
81,AJALPAN,262,165,5,0,450,644,BÁSICA,4,26
81,AJALPAN,287,186,5,0,494,644,CONTIGUA 2,4,26
81,AJALPAN,290,189,8,0,498,644,CONTIGUA 1,4,26
82,AJALPAN,254,234,4,0,511,732,CONTIGUA 1,4,26
82,AJALPAN,281,211,10,0,527,732,CONTIGUA 2,4,26
82,AJALPAN,253,232,6,0,0,732,BÁSICA,4,26
83,AJALPAN,336,157,5,2,514,741,CONTIGUA 1,4,26
83,AJALPAN,316,181,3,0,529,741,CONTIGUA 2,4,26
83,AJALPAN,325,187,12,0,537,740,BÁSICA,4,26
84,AJALPAN,253,166,2,0,449,635,CONTIGUA 2,4,26
84,AJALPAN,255,177,3,0,450,634,CONTIGUA 1,4,26
84,AJALPAN,232,203,2,0,459,635,CONTIGUA 3,4,26
84,AJALPAN,291,166,4,0,477,634,BÁSICA,4,26
85,AJALPAN,199,244,0,0,461,684,CONTIGUA 1,4,26
85,AJALPAN,221,224,2,0,465,684,BÁSICA,4,26
85,AJALPAN,188,255,10,0,467,685,CONTIGUA 2,4,26
85,AJALPAN,192,240,4,0,0,685,CONTIGUA 3,4,26
86,AJALPAN,188,263,5,0,480,709,BÁSICA,4,26
86,AJALPAN,248,229,2,0,503,709,CONTIGUA 1,4,26
87,AJALPAN,32,341,4,0,434,639,CONTIGUA 1,4,26
87,AJALPAN,34,325,6,0,466,639,BÁSICA,4,26
88,AJALPAN,207,178,20,0,449,684,BÁSICA,4,26
89,AJALPAN,137,109,7,0,300,502,CONTIGUA 1,4,26
89,AJALPAN,115,147,7,0,309,502,BÁSICA,4,26
90,AJALPAN,29,155,7,0,210,354,EXTRAORDINARIA 1,4,26
90,AJALPAN,142,173,10,0,369,506,BÁSICA,4,26
90,AJALPAN,95,229,20,0,437,631,EXTRAORDINARIA 2,4,26
91,AJALPAN,46,195,8,0,286,452,EXTRAORDINARIA 1,4,26
91,AJALPAN,117,141,3,0,297,418,CONTIGUA 1,4,26
91,AJALPAN,124,151,2,0,306,418,BÁSICA,4,26
92,AJALPAN,31,104,1,0,142,197,BÁSICA,4,26
93,AJALPAN,22,32,4,0,67,86,BÁSICA,4,26
94,AJALPAN,132,263,6,0,469,695,CONTIGUA 1,4,26
94,AJALPAN,151,278,5,0,469,695,BÁSICA,4,26
95,AJALPAN,69,112,6,0,210,402,CONTIGUA 1,4,26
95,AJALPAN,102,90,0,0,246,401,BÁSICA,4,26
95,AJALPAN,68,164,13,0,284,451,EXTRAORDINARIA 1,4,26
97,AJALPAN,142,45,4,0,229,341,EXTRAORDINARIA 1,4,26
97,AJALPAN,94,154,8,0,298,566,CONTIGUA 1,4,26
97,AJALPAN,121,148,5,0,326,565,BÁSICA,4,26
98,AJALPAN,86,64,3,0,167,262,BÁSICA,4,26
99,AJALPAN,38,167,4,0,227,404,BÁSICA,4,26
99,AJALPAN,59,156,2,0,239,405,CONTIGUA 1,4,26
100,AJALPAN,139,224,7,0,383,535,BÁSICA,4,26
100,AJALPAN,146,237,1,0,399,535,CONTIGUA 1,4,26
101,AJALPAN,67,189,4,0,272,354,EXTRAORDINARIA 1,4,26
101,AJALPAN,88,251,17,0,400,702,BÁSICA,4,26
102,ALBINO ZERTUCHE,223,204,0,0,434,736,BÁSICA,14,22
102,ALBINO ZERTUCHE,212,231,0,0,454,737,CONTIGUA 1,14,22
103,ALJOJUCA,126,127,73,0,341,614,BÁSICA,8,14
103,ALJOJUCA,157,145,63,0,378,615,CONTIGUA 1,8,14
104,ALJOJUCA,141,151,47,0,354,587,CONTIGUA 1,8,14
104,ALJOJUCA,128,180,38,0,363,587,CONTIGUA 2,8,14
104,ALJOJUCA,128,192,38,0,380,586,BÁSICA,8,14
105,ALJOJUCA,137,204,38,0,393,613,CONTIGUA 1,8,14
105,ALJOJUCA,167,176,53,0,414,613,BÁSICA,8,14
106,ALJOJUCA,109,94,37,0,246,324,EXTRAORDINARIA 1,8,14
106,ALJOJUCA,123,143,67,0,352,455,BÁSICA,8,14
107,ALTEPEXI,192,201,0,0,409,594,CONTIGUA 2,4,26
107,ALTEPEXI,229,167,0,0,412,594,CONTIGUA 1,4,26
107,ALTEPEXI,192,208,0,0,417,594,BÁSICA,4,26
107,ALTEPEXI,210,235,0,0,458,594,CONTIGUA 3,4,26
108,ALTEPEXI,199,223,0,0,439,599,CONTIGUA 1,4,26
108,ALTEPEXI,193,234,0,0,442,600,CONTIGUA 2,4,26
108,ALTEPEXI,205,245,0,0,470,599,BÁSICA,4,26
109,ALTEPEXI,175,219,0,0,399,536,CONTIGUA 2,4,26
109,ALTEPEXI,214,182,0,0,405,535,CONTIGUA 1,4,26
109,ALTEPEXI,207,206,0,0,420,535,BÁSICA,4,26
110,ALTEPEXI,257,221,0,0,493,671,BÁSICA,4,26
110,ALTEPEXI,227,256,0,0,500,671,CONTIGUA 2,4,26
110,ALTEPEXI,238,267,0,0,513,671,CONTIGUA 1,4,26
111,ALTEPEXI,233,215,0,0,457,612,BÁSICA,4,26
111,ALTEPEXI,213,235,0,0,458,612,CONTIGUA 1,4,26
111,ALTEPEXI,212,239,0,0,461,612,CONTIGUA 2,4,26
112,ALTEPEXI,237,227,0,0,478,624,BÁSICA,4,26
112,ALTEPEXI,254,213,0,0,479,624,CONTIGUA 1,4,26
112,ALTEPEXI,261,202,0,0,480,624,CONTIGUA 2,4,26
113,AMIXTLAN,197,155,0,0,391,521,CONTIGUA 1,1,2
113,AMIXTLAN,198,149,0,0,395,521,CONTIGUA 2,1,2
113,AMIXTLAN,199,179,0,0,401,521,BÁSICA,1,2
114,AMIXTLAN,269,187,0,0,480,663,BÁSICA,1,2
115,AMIXTLAN,59,117,0,0,200,274,EXTRAORDINARIA 1,1,2
115,AMIXTLAN,111,156,0,0,288,377,CONTIGUA 1,1,2
115,AMIXTLAN,99,149,0,0,289,377,BÁSICA,1,2
116,AMOZOC,156,185,13,0,402,689,CONTIGUA 1,7,12
116,AMOZOC,149,209,10,0,415,690,CONTIGUA 4,7,12
116,AMOZOC,177,209,10,0,416,690,CONTIGUA 2,7,12
116,AMOZOC,170,239,10,0,437,689,BÁSICA,7,12
116,AMOZOC,214,221,10,0,464,690,CONTIGUA 3,7,12
117,AMOZOC,153,204,8,1,415,684,BÁSICA,7,12
117,AMOZOC,196,204,13,0,433,684,CONTIGUA 1,7,12
117,AMOZOC,175,245,11,0,463,685,CONTIGUA 2,7,12
118,AMOZOC,170,150,14,0,348,590,CONTIGUA 1,7,12
118,AMOZOC,174,158,17,0,361,590,CONTIGUA 3,7,12
118,AMOZOC,156,190,16,0,366,590,CONTIGUA 2,7,12
118,AMOZOC,160,178,25,0,375,590,BÁSICA,7,12
119,AMOZOC,138,161,28,0,339,539,CONTIGUA 1,7,12
119,AMOZOC,127,166,19,10,357,539,CONTIGUA 2,7,12
119,AMOZOC,152,172,17,0,0,538,BÁSICA,7,12
120,AMOZOC,149,153,16,1,343,555,CONTIGUA 1,7,12
120,AMOZOC,188,143,14,0,354,555,CONTIGUA 2,7,12
120,AMOZOC,158,175,16,0,356,555,BÁSICA,7,12
121,AMOZOC,187,138,22,0,366,644,CONTIGUA 1,7,12
121,AMOZOC,188,177,9,0,386,644,CONTIGUA 2,7,12
121,AMOZOC,155,165,22,0,397,643,BÁSICA,7,12
121,AMOZOC,182,184,20,0,408,644,CONTIGUA 3,7,12
122,AMOZOC,138,218,25,0,404,721,CONTIGUA 1,7,12
122,AMOZOC,163,208,21,0,411,721,BÁSICA,7,12
122,AMOZOC,170,205,26,0,412,721,CONTIGUA 2,7,12
122,AMOZOC,165,215,23,0,439,722,CONTIGUA 3,7,12
123,AMOZOC,163,151,21,0,356,647,BÁSICA,7,12
