MUNICIPIO,SECCION ELECTORAL,PAN,PRI,PRD,PT,PVEM,MC,MORENA,C_PAN_PRD_MC,C_PAN_PRD,C_PAN_MC,C_PRD_MC,C_PT_PVEM_MORENA,C_PT_PVEM,C_PT_MORENA,C_PVEM_MORENA,TOTAL DE VOTOS,LISTA NOMINAL,PRIORIDAD
PUEBLA,1174,321,65,9,22,17,16,127,94,8,7,0,38,1,7,5,753,1590,BAJA (A)
PUEBLA,1219,208,115,24,35,16,15,176,36,3,7,4,52,4,9,10,748,2225,BAJA (A)
PUEBLA,1391,191,102,13,72,12,19,206,38,3,2,0,42,6,5,4,744,2764,BAJA (A)
PUEBLA,1498,328,65,17,21,10,17,143,50,4,3,0,42,3,7,7,744,1796,BAJA (A)
PUEBLA,1101,294,68,11,33,11,15,176,42,3,8,1,51,4,2,3,742,1953,BAJA (A)
PUEBLA,1550,166,108,11,47,30,12,213,24,7,5,0,67,5,9,3,736,2152,BAJA (A)
PUEBLA,1460,222,77,8,46,8,19,197,28,5,8,1,69,1,9,6,735,1634,BAJA (A)
PUEBLA,1178,286,91,16,23,9,24,126,54,8,8,1,48,0,8,7,734,1595,BAJA (A)
PUEBLA,1157,471,35,6,17,4,16,59,78,9,7,0,16,0,3,2,733,1292,BAJA (A)
PUEBLA,1220,245,69,13,34,13,12,186,53,10,4,1,47,0,9,5,733,1515,BAJA (A)
PUEBLA,1582,202,121,6,37,23,18,171,25,4,3,2,69,1,12,1,732,2293,BAJA (A)
PUEBLA,1482,345,63,17,25,7,17,122,58,7,3,1,26,2,5,5,722,1528,BAJA (A)
PUEBLA,1361,337,61,4,20,18,12,126,73,9,3,1,35,2,1,1,719,1493,BAJA (A)
PUEBLA,1051,272,94,9,33,18,14,164,35,8,1,0,40,3,9,3,718,1970,BAJA (A)
PUEBLA,1156,454,23,6,8,4,18,65,99,6,7,0,13,0,1,1,715,1147,BAJA (A)
PUEBLA,1491,329,58,10,13,12,11,124,67,5,4,0,45,2,10,3,714,1516,BAJA (A)
PUEBLA,1409,248,143,11,29,49,6,117,38,1,6,5,35,2,9,4,714,2787,BAJA (A)
PUEBLA,1571,307,66,5,23,11,13,169,28,5,11,2,41,1,8,2,714,1402,BAJA (A)
PUEBLA,2649,250,75,22,69,9,17,148,52,5,4,1,30,0,10,1,713,2018,BAJA (A)
PUEBLA,1569,231,74,9,34,16,19,186,38,3,5,0,50,5,10,3,712,1810,BAJA (A)
PUEBLA,1453,276,65,12,34,7,18,142,60,10,7,0,44,3,8,5,711,1931,BAJA (A)
PUEBLA,1511,352,60,10,23,14,19,120,55,6,3,1,22,0,1,1,706,1388,BAJA (A)
PUEBLA,1501,376,52,9,15,3,15,111,70,3,5,1,22,1,5,0,706,1287,BAJA (A)
PUEBLA,1464,250,167,9,23,12,9,131,36,6,5,1,25,1,5,5,704,1259,BAJA (A)
PUEBLA,958,430,32,8,13,7,17,94,62,5,7,0,17,3,0,0,704,1376,BAJA (A)
PUEBLA,1579,230,87,14,38,21,20,154,41,2,5,0,47,3,8,7,701,2301,BAJA (A)
PUEBLA,1042,321,68,9,21,9,9,146,41,4,4,1,38,2,2,5,699,2056,BAJA (A)
PUEBLA,1473,268,68,9,32,11,11,161,36,6,3,1,53,6,11,2,698,1851,BAJA (A)
PUEBLA,1585,288,43,4,37,5,16,150,70,14,8,0,31,2,3,5,695,1747,BAJA (A)
PUEBLA,1004,264,74,9,36,12,13,138,54,5,6,1,43,2,8,3,695,1935,BAJA (A)
PUEBLA,1130,345,45,10,22,12,16,111,45,4,4,1,44,4,7,2,691,1636,BAJA (A)
PUEBLA,1484,298,57,13,18,18,16,136,55,6,3,1,36,6,6,1,691,1475,BAJA (A)
PUEBLA,1148,338,59,11,18,15,18,81,81,12,6,1,25,1,5,2,691,1311,BAJA (A)
PUEBLA,1418,144,190,7,70,36,3,133,21,5,0,1,48,6,3,7,690,3549,BAJA (A)
PUEBLA,1254,135,173,4,50,17,8,131,35,4,5,3,74,9,10,4,689,3480,BAJA (A)
PUEBLA,1031,220,81,7,31,6,13,168,51,11,10,0,47,5,6,2,686,1764,BAJA (A)
PUEBLA,1455,426,33,7,14,11,12,71,68,6,5,0,16,0,1,3,685,1227,BAJA (A)
PUEBLA,1512,308,69,5,28,4,13,140,51,4,10,0,25,0,6,2,685,1384,BAJA (A)
PUEBLA,942,287,53,12,32,12,21,138,56,3,7,1,25,2,3,5,684,1468,BAJA (A)
PUEBLA,1090,290,61,15,12,10,20,141,58,7,6,1,33,4,3,2,684,1679,BAJA (A)
PUEBLA,1551,207,97,8,46,16,12,165,16,4,3,0,51,4,10,8,681,2153,BAJA (A)
PUEBLA,1599,175,112,9,45,21,14,140,34,11,1,0,56,10,8,6,678,2771,BAJA (A)
PUEBLA,2630,106,59,5,38,8,6,56,73,65,63,5,67,27,55,34,675,1034,BAJA (A)
PUEBLA,1233,261,74,12,28,10,10,155,38,5,6,0,48,1,9,5,675,1790,BAJA (A)
PUEBLA,1192,306,48,9,19,6,16,132,59,7,9,0,39,1,4,4,673,1234,BAJA (A)
PUEBLA,1165,414,27,8,15,0,22,73,67,5,8,1,16,0,0,2,668,1168,BAJA (A)
PUEBLA,1142,365,45,12,20,6,18,68,79,9,6,0,14,2,2,3,665,1270,BAJA (A)
PUEBLA,1163,406,35,2,5,10,7,91,66,3,4,0,20,1,1,1,664,1277,BAJA (A)
PUEBLA,1202,219,70,9,35,18,15,161,45,4,5,2,46,2,7,2,664,1855,BAJA (A)
PUEBLA,1372,244,65,9,28,17,14,155,46,2,2,4,46,1,12,3,662,1778,BAJA (A)
PUEBLA,1459,202,71,13,29,29,21,163,34,5,1,1,51,5,8,8,659,1620,BAJA (A)
PUEBLA,1028,241,53,11,29,17,20,154,45,4,6,0,38,3,10,2,658,1887,BAJA (A)
PUEBLA,1169,243,95,8,30,15,11,142,44,4,5,0,42,2,1,0,658,1721,BAJA (A)
PUEBLA,1523,256,62,8,14,6,22,170,49,6,3,0,37,2,5,3,657,1291,BAJA (A)
PUEBLA,1414,124,125,4,75,35,4,155,27,1,5,2,57,8,12,8,656,2885,BAJA (A)
PUEBLA,1308,352,40,13,10,10,26,94,54,2,3,1,24,2,3,2,656,1263,BAJA (A)
PUEBLA,996,258,53,12,17,8,9,175,52,7,4,0,33,1,4,1,655,1401,BAJA (A)
PUEBLA,1047,214,54,8,26,14,9,187,54,0,2,0,51,0,7,2,654,1413,BAJA (A)
PUEBLA,1379,208,78,11,23,21,19,119,48,4,4,18,47,5,5,3,654,1797,BAJA (A)
PUEBLA,1026,238,51,12,30,13,11,170,43,4,4,1,37,1,8,4,654,1688,BAJA (A)
PUEBLA,961,237,56,10,26,13,25,140,52,5,3,0,49,4,7,3,653,1447,BAJA (A)
PUEBLA,1329,255,54,11,25,15,6,123,72,3,7,1,43,1,2,5,649,1991,BAJA (A)
PUEBLA,1471,252,77,7,28,9,8,149,41,5,4,2,42,3,5,3,647,1543,BAJA (A)
PUEBLA,1325,330,31,9,15,5,10,112,77,5,6,1,23,1,5,1,646,1211,BAJA (A)
PUEBLA,2625,226,51,6,31,21,20,194,38,0,1,0,20,1,11,3,646,1898,BAJA (A)
PUEBLA,1179,318,50,8,16,5,19,112,55,9,6,0,25,0,1,1,645,1322,BAJA (A)
PUEBLA,1203,224,87,5,30,13,19,147,38,6,3,0,49,0,4,4,644,1734,BAJA (A)
PUEBLA,1580,178,70,12,44,9,16,181,13,10,3,1,56,6,9,3,643,1928,BAJA (A)
PUEBLA,1352,199,79,16,24,10,16,167,26,6,2,0,58,5,9,0,643,1938,BAJA (A)
PUEBLA,1235,226,66,5,17,17,18,154,49,4,2,0,50,2,5,3,641,1693,BAJA (A)
PUEBLA,1027,245,47,6,25,13,15,157,53,4,5,0,42,1,5,4,640,1723,BAJA (A)
PUEBLA,1448,395,24,9,12,4,16,62,75,2,7,2,19,1,0,1,640,1107,BAJA (A)
PUEBLA,1513,323,53,3,16,3,16,111,54,5,4,2,16,1,6,3,640,1293,BAJA (A)
PUEBLA,944,280,60,5,34,17,19,122,32,1,2,0,25,6,3,3,638,1540,BAJA (A)
PUEBLA,2563,299,45,9,27,14,8,130,46,2,1,2,30,0,3,2,638,1394,BAJA (A)
PUEBLA,1059,215,61,9,26,19,15,124,47,9,6,1,52,5,9,7,637,2619,BAJA (A)
PUEBLA,1456,407,31,10,7,5,17,59,71,7,5,1,10,0,0,0,636,1160,BAJA (A)
PUEBLA,1164,410,33,4,9,4,13,52,55,11,10,2,15,1,4,1,636,1085,BAJA (A)
PUEBLA,1291,263,53,4,32,18,15,126,32,4,4,1,39,2,6,1,634,1396,BAJA (A)
PUEBLA,1472,231,63,11,27,10,16,147,32,5,4,0,42,4,6,4,630,1571,BAJA (A)
PUEBLA,1158,381,19,7,7,4,22,60,89,1,8,0,10,0,3,1,627,1150,BAJA (A)
PUEBLA,2650,284,71,9,24,2,15,136,30,4,2,0,30,0,1,0,627,1497,BAJA (A)
PUEBLA,1006,356,43,1,18,13,15,78,63,5,2,1,19,3,1,0,626,1344,BAJA (A)
PUEBLA,1389,207,83,9,29,11,11,131,54,6,5,0,49,3,7,2,625,1815,BAJA (A)
PUEBLA,1348,241,67,4,27,20,15,118,36,6,2,0,44,3,8,4,623,1525,BAJA (A)
PUEBLA,1494,274,62,5,17,10,14,115,46,5,2,0,40,2,8,2,623,1268,BAJA (A)
PUEBLA,981,212,58,13,41,17,17,145,45,2,3,0,39,6,9,1,622,1651,BAJA (A)
PUEBLA,1509,310,47,5,21,6,6,115,47,5,4,1,29,1,1,3,618,1267,BAJA (A)
PUEBLA,1171,333,37,5,11,8,8,99,57,8,6,0,21,1,0,0,612,1239,BAJA (A)
PUEBLA,1328,187,79,7,34,10,10,150,31,9,4,1,50,4,6,5,611,1569,BAJA (A)
PUEBLA,1149,372,26,10,12,8,20,46,70,10,6,0,14,0,2,2,610,987,BAJA (A)
PUEBLA,1570,231,46,6,30,12,9,149,30,3,4,0,56,3,6,4,610,1507,BAJA (A)
PUEBLA,1500,282,53,13,5,2,21,119,36,3,2,5,27,5,15,1,608,1109,BAJA (A)
PUEBLA,1365,175,85,10,22,12,12,157,36,4,0,0,51,3,7,12,607,1768,BAJA (A)
PUEBLA,948,186,75,11,30,17,16,145,42,3,6,1,31,12,8,2,605,2004,BAJA (A)
PUEBLA,1292,226,71,13,24,10,16,127,40,4,3,0,39,3,5,2,605,1608,BAJA (A)
PUEBLA,1530,211,74,12,30,13,10,129,42,4,2,3,44,5,1,4,604,1443,BAJA (A)
PUEBLA,1376,211,56,9,21,8,7,149,33,5,8,2,55,3,6,3,604,1802,BAJA (A)
PUEBLA,1307,173,74,4,34,19,14,143,29,10,3,2,51,6,7,6,604,1840,BAJA (A)
PUEBLA,1095,423,16,6,9,7,13,52,49,2,8,0,10,3,1,0,603,1010,BAJA (A)
PUEBLA,976,215,66,6,30,12,7,135,47,3,5,1,42,5,5,5,602,1826,BAJA (A)
PUEBLA,1370,202,102,10,20,10,14,155,21,3,0,1,26,6,3,3,602,1925,BAJA (A)
PUEBLA,1592,154,80,7,36,18,11,171,22,3,6,1,48,6,5,4,602,2609,BAJA (A)
PUEBLA,1510,266,43,12,20,13,10,147,29,6,5,0,26,1,4,4,600,1188,BAJA (A)
PUEBLA,1327,226,76,6,36,8,6,119,40,2,2,1,46,0,5,1,599,1526,BAJA (A)
PUEBLA,1506,268,60,4,16,10,18,114,47,3,8,1,25,1,2,1,596,1152,BAJA (A)
PUEBLA,1609,55,246,3,40,75,9,100,10,3,2,0,24,8,5,5,595,1874,BAJA (A)
PUEBLA,1449,369,28,8,5,5,14,57,81,1,5,1,11,0,0,0,594,994,BAJA (A)
PUEBLA,1480,299,43,9,13,5,13,113,37,9,8,0,19,0,5,1,593,995,BAJA (A)
