MUNICIPIO,SECCION ELECTORAL,PAN,PRI,PRD,PT,PVEM,MC,MORENA,C_PAN_PRD_MC,C_PAN_PRD,C_PAN_MC,C_PRD_MC,C_PT_PVEM_MORENA,C_PT_PVEM,C_PT_MORENA,C_PVEM_MORENA,TOTAL DE VOTOS,LISTA NOMINAL,PRIORIDAD
HUEYAPAN,674,115,440,5,168,136,3,306,6,0,3,0,54,19,23,6,1337,3042,MEDIA (AA)
CUAUTLANCINGO,331,469,108,18,75,21,38,364,62,4,5,4,91,9,19,5,1332,5776,MEDIA (AA)
HUEJOTZINGO,657,366,181,20,117,112,53,230,76,12,4,1,66,6,28,6,1321,5554,MEDIA (AA)
CUAUTEMPAN,319,62,279,14,116,434,51,190,1,2,0,0,36,8,6,2,1317,2654,MEDIA (AA)
PUEBLA,1251,441,140,20,63,21,33,343,91,10,9,1,75,9,10,4,1317,3748,MEDIA (AA)
AMOZOC,123,405,233,22,56,45,33,220,79,10,13,3,87,16,17,9,1305,5264,MEDIA (AA)
HUEJOTZINGO,653,375,174,20,146,93,36,237,69,4,4,3,67,10,12,3,1304,7345,MEDIA (AA)
PUEBLA,1061,462,130,11,52,49,27,310,85,6,13,4,93,3,13,8,1300,3664,MEDIA (AA)
PUEBLA,1555,445,178,17,53,22,33,339,64,12,3,2,61,8,12,7,1299,3635,MEDIA (AA)
VENUSTIANO CARRANZA,2342,410,17,16,100,26,22,471,40,6,10,0,82,14,19,20,1295,2484,MEDIA (AA)
PUEBLA,1396,344,159,19,76,52,33,331,69,8,9,0,106,11,16,11,1292,4051,MEDIA (AA)
XICOTEPEC,2372,340,210,16,109,50,14,354,28,2,3,0,61,12,9,6,1290,3104,MEDIA (AA)
ATZITZIHUACAN,231,24,14,3,139,127,1,22,28,27,25,4,288,266,161,149,1286,465,MEDIA (AA)
SAN SEBASTIAN TLACOTEPEC,2201,83,273,7,386,24,3,392,1,0,0,0,18,12,14,6,1281,2254,MEDIA (AA)
PUEBLA,1055,460,135,13,66,24,27,325,84,6,3,2,85,8,12,5,1280,4108,MEDIA (AA)
ZACAPOAXTLA,2436,319,218,6,69,79,22,386,29,0,3,6,69,4,9,4,1279,2501,MEDIA (AA)
SAN ANDRES CHOLULA,1654,599,144,16,32,8,39,231,102,5,9,0,48,5,11,3,1277,3492,MEDIA (AA)
SAN SEBASTIAN TLACOTEPEC,2203,36,38,3,149,33,4,332,17,16,16,3,202,58,191,157,1276,1368,MEDIA (AA)
TETELA DE OCAMPO,2118,76,459,7,153,43,19,348,3,1,4,0,61,7,19,9,1271,2739,MEDIA (AA)
