SECCION ELECTORAL,MUNICIPIO,PAN,PRI,PRD,PT,PVEM,MC,MORENA,C_PAN_PRD_MC,C_PAN_PRD,C_PAN_MC,C_PRD_MC,C_PT_PVEM_MORENA,C_PT_PVEM,C_PT_MORENA,C_PVEM_MORENA,TOTAL DE VOTOS,LISTA NOMINAL,CASILLA,DISTRITO F,DISTRITO L
1374,PUEBLA,77,30,0,9,4,3,46,13,2,1,1,23,0,1,2,221,715,C,6,11
1375,PUEBLA,43,24,1,8,6,2,48,11,3,1,0,17,0,2,1,170,648,B,6,11
1375,PUEBLA,39,19,2,12,3,2,49,8,2,1,0,16,2,5,0,168,647,C,6,11
1375,PUEBLA,61,16,3,16,0,8,37,11,0,1,0,19,3,2,0,185,647,C,6,11
1375,PUEBLA,58,15,3,8,7,2,33,12,2,0,0,14,3,3,0,166,647,C,6,11
1375,PUEBLA,38,25,2,7,8,1,47,5,5,2,0,17,0,2,3,169,647,C,6,11
1375,PUEBLA,51,16,1,9,6,3,48,9,2,2,1,19,1,2,2,182,647,C,6,11
1375,PUEBLA,30,24,1,4,2,1,20,6,0,0,0,7,2,0,1,103,0,S,6,11
1376,PUEBLA,65,27,5,9,4,1,46,12,2,3,1,14,1,2,1,204,601,B,6,10
1376,PUEBLA,75,15,2,3,4,3,60,8,0,4,0,21,0,1,2,205,601,C,6,10
1376,PUEBLA,71,14,2,9,0,3,43,13,3,1,1,20,2,3,0,195,600,C,6,10
1377,PUEBLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,716,B,6,10
1377,PUEBLA,68,47,5,11,6,4,51,18,2,1,0,27,0,3,2,249,716,C,6,10
1377,PUEBLA,72,41,2,9,8,8,64,11,1,2,0,25,1,1,2,258,715,C,6,10
1381,PUEBLA,41,14,1,9,5,2,36,5,1,0,0,12,1,0,2,134,403,B,6,10
1381,PUEBLA,28,19,3,4,1,2,50,3,1,2,0,15,2,3,6,152,402,C,6,10
1382,PUEBLA,137,13,3,4,1,5,48,29,2,3,0,7,0,1,0,256,581,B,6,10
1382,PUEBLA,123,12,2,5,4,10,59,26,2,1,0,17,1,1,0,273,581,C,6,10
1382,PUEBLA,133,14,2,4,3,6,50,25,2,4,1,15,0,1,2,270,581,C,6,10
1383,PUEBLA,87,26,4,6,4,13,45,27,3,3,2,16,1,2,1,247,530,B,6,11
1383,PUEBLA,90,15,3,11,2,4,40,13,2,0,0,10,0,2,1,214,529,C,6,11
1384,PUEBLA,86,27,2,11,5,3,48,10,1,1,0,10,0,2,4,215,546,B,6,11
1384,PUEBLA,82,21,4,8,1,5,55,7,1,2,1,18,0,1,0,215,546,C,6,11
1385,PUEBLA,82,18,3,11,3,3,70,10,3,3,0,18,0,2,1,235,533,B,6,11
1385,PUEBLA,94,26,1,9,0,5,46,16,0,2,0,12,0,2,3,221,532,C,6,11
1386,PUEBLA,52,21,4,13,1,3,62,16,2,1,0,22,5,5,0,215,705,B,6,11
1386,PUEBLA,81,26,2,11,3,2,62,18,0,3,1,15,0,3,0,236,705,C,6,11
1386,PUEBLA,68,24,2,13,8,4,62,19,0,4,2,19,2,4,2,240,705,C,6,11
1386,PUEBLA,61,30,2,16,4,6,53,10,2,0,0,33,1,4,1,233,705,C,6,11
1387,PUEBLA,101,15,4,8,6,4,58,14,2,2,0,16,2,1,1,244,493,B,6,10
1387,PUEBLA,111,14,2,11,5,4,48,12,1,3,0,11,0,1,0,227,492,C,6,10
1388,PUEBLA,101,32,1,15,1,1,53,23,2,0,0,13,1,4,2,253,625,B,6,10
1388,PUEBLA,100,42,3,10,3,7,53,11,0,3,0,15,2,3,0,262,624,C,6,10
1389,PUEBLA,80,34,6,12,3,7,45,22,2,0,0,14,1,1,0,238,605,B,6,10
1389,PUEBLA,52,27,2,11,5,3,45,22,2,4,0,18,1,5,0,198,605,C,6,10
1389,PUEBLA,75,22,1,6,3,1,41,10,2,1,0,17,1,1,2,189,605,C,6,10
1390,PUEBLA,76,25,7,8,7,9,64,20,2,2,0,16,0,3,2,250,688,B,6,10
1390,PUEBLA,88,33,5,16,3,1,50,22,0,1,0,15,0,3,1,245,687,C,6,10
1390,PUEBLA,91,36,1,11,10,6,57,18,3,2,0,22,0,2,0,266,687,C,6,10
1390,PUEBLA,77,25,4,20,8,9,65,8,0,3,0,23,0,0,3,251,687,C,6,10
1390,PUEBLA,64,36,6,13,4,5,47,8,2,2,0,18,3,1,2,220,687,C,6,10
1390,PUEBLA,76,53,5,13,6,3,72,17,0,1,0,21,2,1,1,278,687,C,6,10
1391,PUEBLA,45,28,6,32,2,4,46,0,0,0,0,0,0,0,0,176,691,B,6,10
1391,PUEBLA,56,18,2,15,5,5,59,13,2,2,0,9,3,2,1,198,691,C,6,10
1391,PUEBLA,44,31,4,9,4,4,56,12,0,0,0,16,2,2,0,191,691,C,6,10
1391,PUEBLA,46,25,1,16,1,6,45,13,1,0,0,17,1,1,3,179,691,C,6,10
1396,PUEBLA,60,24,5,11,9,9,57,18,1,3,0,21,3,7,4,240,676,B,6,11
1396,PUEBLA,51,25,2,16,14,1,60,11,2,2,0,23,0,2,2,220,675,C,6,11
1396,PUEBLA,50,20,3,17,6,4,63,7,1,1,0,13,3,1,1,193,675,C,6,11
1396,PUEBLA,64,25,3,11,13,7,63,10,0,1,0,17,1,2,2,223,675,C,6,11
1396,PUEBLA,61,40,4,11,4,7,36,11,2,1,0,13,2,1,0,205,675,C,6,11
1396,PUEBLA,58,25,2,10,6,5,52,12,2,1,0,19,2,3,2,211,675,C,6,11
1397,PUEBLA,57,26,3,15,3,4,52,9,0,2,1,20,2,0,4,202,714,B,6,11
1397,PUEBLA,38,21,5,12,5,4,49,15,5,1,1,23,3,6,5,201,714,C,6,11
1397,PUEBLA,47,20,1,17,3,6,48,3,3,0,0,21,6,4,2,194,714,C,6,11
1397,PUEBLA,47,23,5,11,4,3,47,10,1,1,0,16,2,5,2,189,713,C,6,11
1397,PUEBLA,40,17,2,9,4,4,53,15,1,1,0,21,0,3,0,180,713,C,6,11
1397,PUEBLA,47,25,3,12,6,5,41,14,2,2,0,18,2,4,1,191,713,C,6,11
1397,PUEBLA,49,32,2,7,2,0,60,12,1,0,0,9,2,5,1,185,713,C,6,11
1397,PUEBLA,54,28,2,16,5,1,28,9,3,0,0,17,3,2,3,183,713,C,6,11
1397,PUEBLA,34,25,2,16,9,4,51,6,2,1,0,19,4,1,1,185,713,C,6,11
1398,PUEBLA,61,28,1,8,2,4,44,9,1,0,1,7,19,4,3,198,680,B,6,11
1398,PUEBLA,47,24,1,7,11,2,40,14,0,1,0,17,1,2,2,181,679,C,6,11
1398,PUEBLA,41,36,1,8,6,2,47,12,3,1,0,12,2,4,3,187,679,C,6,11
1398,PUEBLA,45,33,1,10,5,2,48,9,2,2,0,23,0,4,1,199,679,C,6,11
1398,PUEBLA,56,28,2,11,1,2,42,5,0,1,0,23,2,3,2,187,679,C,6,11
1398,PUEBLA,43,20,1,11,6,1,54,14,1,1,0,15,3,4,3,182,679,C,6,11
1398,PUEBLA,39,31,1,8,1,2,45,14,1,4,1,15,2,4,3,179,679,C,6,11
1398,PUEBLA,56,28,3,8,9,4,40,12,2,2,0,21,2,4,2,196,679,C,6,11
1399,PUEBLA,94,17,5,4,2,8,57,10,1,3,0,17,0,2,0,227,625,B,6,11
1399,PUEBLA,99,33,4,11,5,3,67,19,1,3,2,10,1,4,4,272,625,C,6,11
1400,PUEBLA,93,28,4,7,4,8,51,20,0,3,0,19,1,2,0,246,622,B,6,11
1400,PUEBLA,104,32,2,5,0,12,67,13,2,5,2,13,0,0,0,266,622,C,6,11
1400,PUEBLA,75,28,0,13,5,1,55,15,3,2,1,17,2,2,0,233,621,C,6,11
1400,PUEBLA,91,25,3,15,3,3,52,18,4,3,0,11,3,1,2,246,621,C,6,11
1400,PUEBLA,79,26,2,4,3,9,53,19,1,3,0,10,1,3,0,224,621,C,6,11
1401,PUEBLA,61,15,4,6,3,5,35,10,2,1,0,9,2,0,0,159,379,B,6,11
1401,PUEBLA,52,7,3,4,5,5,38,5,2,0,0,4,1,4,0,139,378,C,6,11
1402,PUEBLA,55,28,3,10,3,3,52,18,1,2,0,14,0,1,2,198,510,B,6,11
1402,PUEBLA,53,25,1,6,2,7,32,14,2,1,1,18,0,2,2,176,509,C,6,11
1403,PUEBLA,67,18,2,10,8,1,42,13,2,0,0,10,1,0,0,183,502,B,6,11
1403,PUEBLA,60,18,3,1,4,5,31,13,1,1,0,13,2,0,1,164,502,C,6,11
1404,PUEBLA,90,20,3,6,4,5,41,22,1,5,2,9,3,2,3,231,616,B,6,11
1404,PUEBLA,83,24,1,4,2,3,38,18,0,3,1,15,3,3,1,211,616,C,6,11
1405,PUEBLA,114,24,3,3,7,8,53,31,1,0,0,14,0,5,1,272,716,B,6,11
1405,PUEBLA,97,21,1,9,3,3,50,16,2,3,0,20,1,0,3,240,716,C,6,11
1405,PUEBLA,105,20,3,5,8,4,69,19,2,0,2,13,1,1,1,258,716,C,6,11
1405,PUEBLA,108,26,1,8,5,13,57,17,3,1,0,8,1,2,0,256,716,C,6,11
1405,PUEBLA,103,37,4,8,6,3,73,11,1,1,0,16,0,0,2,273,716,C,6,11
1405,PUEBLA,96,22,4,9,1,5,44,25,4,2,0,14,1,0,0,229,716,C,6,11
1405,PUEBLA,99,22,4,6,4,4,58,23,2,1,1,18,1,4,1,250,716,C,6,11
1405,PUEBLA,91,27,3,10,7,3,63,20,2,2,0,19,1,4,0,264,715,C,6,11
1405,PUEBLA,109,21,2,6,2,6,48,23,3,5,0,12,0,1,0,243,715,C,6,11
1405,PUEBLA,82,29,8,3,7,2,58,19,1,4,0,24,0,2,0,248,654,E,6,11
1405,PUEBLA,81,28,2,8,3,4,51,21,2,2,0,27,0,2,1,240,654,E1,6,11
1405,PUEBLA,84,27,1,13,1,4,51,16,1,4,0,12,0,2,1,222,654,E2,6,11
1405,PUEBLA,95,22,4,6,9,4,43,16,2,1,0,11,1,6,1,233,654,E3,6,11
1405,PUEBLA,87,31,2,4,4,5,57,20,2,1,0,25,1,1,0,259,654,E4,6,11
1408,PUEBLA,58,34,1,12,7,3,56,6,1,0,1,13,2,2,2,208,743,B,6,10
1408,PUEBLA,88,24,1,7,9,2,42,12,1,0,1,13,2,2,3,214,743,C,6,10
1408,PUEBLA,52,30,1,14,8,3,37,7,1,0,0,11,4,1,2,179,742,C,6,10
1408,PUEBLA,52,24,4,9,8,1,49,13,1,3,0,9,0,3,2,189,742,C,6,10
1408,PUEBLA,56,23,1,9,7,1,39,9,0,2,0,16,0,1,0,177,742,C,6,10
1408,PUEBLA,64,25,1,8,9,4,40,15,0,0,0,8,0,5,1,189,742,C,6,10
1409,PUEBLA,56,39,3,12,13,1,28,13,1,4,1,9,0,0,1,185,697,B,6,11
1409,PUEBLA,68,33,6,8,12,1,24,10,0,1,0,8,1,2,1,179,697,C,6,11
1409,PUEBLA,59,35,0,4,12,4,34,13,0,0,3,8,1,6,2,183,697,C,6,11
1409,PUEBLA,65,36,2,5,12,0,31,2,0,1,1,10,0,1,0,167,696,C,6,11
1410,PUEBLA,48,25,4,3,11,1,25,5,2,3,0,8,1,3,0,142,678,B,6,11
1410,PUEBLA,46,32,1,15,8,3,28,9,0,0,0,12,1,1,0,158,678,C,6,11
1410,PUEBLA,34,28,1,12,13,1,21,9,0,2,0,4,2,1,1,134,678,C,6,11
1410,PUEBLA,38,13,1,3,4,2,22,6,1,2,0,9,1,0,1,107,678,C,6,11
1410,PUEBLA,43,17,1,5,7,3,18,6,0,0,0,9,0,0,0,112,678,C,6,11
1410,PUEBLA,32,32,1,9,7,5,35,6,0,0,0,10,0,1,0,140,678,C,6,11
1410,PUEBLA,41,24,1,4,7,0,16,4,1,2,0,9,1,1,0,115,678,C,6,11
1411,PUEBLA,21,31,0,12,5,3,34,7,0,1,0,26,1,1,2,151,702,B,6,11
1411,PUEBLA,22,21,1,5,6,3,29,4,1,2,0,19,1,1,0,119,702,C,6,11
1411,PUEBLA,20,20,0,12,5,2,37,3,0,0,0,15,4,4,3,132,702,C,6,11
1411,PUEBLA,22,15,2,11,5,2,17,2,1,0,0,15,1,2,1,102,702,C,6,11
1411,PUEBLA,22,13,2,7,5,5,39,4,1,0,0,8,5,2,0,119,702,C,6,11
1411,PUEBLA,32,20,0,14,2,2,35,4,0,2,0,22,3,6,0,146,702,C,6,11
1411,PUEBLA,34,19,1,13,6,1,44,6,0,2,0,14,1,0,0,143,701,C,6,11
1411,PUEBLA,22,16,2,15,4,2,37,3,1,0,0,11,2,0,0,710,701,C,6,11
